spiel_id,datum,status,matchday,heim_team_id,heim_team,gast_team_id,gast_team,tore_heim,tore_gast
551981,2025-09-16,FINISHED,1.0,77,Athletic,57,Arsenal,0,2
552049,2025-09-16,FINISHED,1.0,674,PSV,3929,Union SG,1,3
551941,2025-09-16,FINISHED,1.0,109,Juventus,4,Dortmund,4,4
551991,2025-09-16,FINISHED,1.0,1903,SL Benfica,611,Qarabağ Ağdam,2,3
552012,2025-09-16,FINISHED,1.0,73,Tottenham,94,Villarreal,1,0
551927,2025-09-16,FINISHED,1.0,86,Real Madrid,516,Marseille,2,1
552023,2025-09-17,FINISHED,1.0,930,Slavia Praha,5721,Bodø/Glimt,2,2
552031,2025-09-17,FINISHED,1.0,654,Olympiakos,11034,Paphos FC,0,0
551936,2025-09-17,FINISHED,1.0,678,Ajax,108,Inter,0,2
551946,2025-09-17,FINISHED,1.0,64,Liverpool,78,Atleti,3,2
551959,2025-09-17,FINISHED,1.0,524,PSG,102,Atalanta,4,0
551908,2025-09-17,FINISHED,1.0,5,Bayern,61,Chelsea,3,1
551975,2025-09-18,FINISHED,1.0,1876,København,3,Leverkusen,2,2
551995,2025-09-18,FINISHED,1.0,851,Club Brugge,548,Monaco,4,1
551958,2025-09-18,FINISHED,1.0,67,Newcastle,81,Barça,1,2
551965,2025-09-18,FINISHED,1.0,65,Man City,113,Napoli,2,0
552000,2025-09-18,FINISHED,1.0,19,Frankfurt,610,Galatasaray,5,1
552027,2025-09-18,FINISHED,1.0,498,Sporting CP,10601,FK Kairat,4,1
551982,2025-09-30,FINISHED,2.0,102,Atalanta,851,Club Brugge,2,1
551930,2025-09-30,FINISHED,2.0,10601,FK Kairat,86,Real Madrid,0,5
551951,2025-09-30,FINISHED,2.0,610,Galatasaray,64,Liverpool,1,0
551997,2025-09-30,FINISHED,2.0,78,Atleti,19,Frankfurt,5,1
552015,2025-09-30,FINISHED,2.0,516,Marseille,678,Ajax,4,0
552020,2025-09-30,FINISHED,2.0,5721,Bodø/Glimt,73,Tottenham,2,2
551915,2025-09-30,FINISHED,2.0,11034,Paphos FC,5,Bayern,1,5
551917,2025-09-30,FINISHED,2.0,61,Chelsea,1903,SL Benfica,1,0
551935,2025-09-30,FINISHED,2.0,108,Inter,930,Slavia Praha,3,0
552039,2025-10-01,FINISHED,2.0,611,Qarabağ Ağdam,1876,København,2,0
552044,2025-10-01,FINISHED,2.0,3929,Union SG,67,Newcastle,0,4
551944,2025-10-01,FINISHED,2.0,4,Dortmund,77,Athletic,4,1
551952,2025-10-01,FINISHED,2.0,81,Barça,524,PSG,1,2
551968,2025-10-01,FINISHED,2.0,548,Monaco,65,Man City,2,2
551972,2025-10-01,FINISHED,2.0,3,Leverkusen,674,PSV,1,1
551978,2025-10-01,FINISHED,2.0,57,Arsenal,654,Olympiakos,2,0
552002,2025-10-01,FINISHED,2.0,94,Villarreal,109,Juventus,2,2
552026,2025-10-01,FINISHED,2.0,113,Napoli,498,Sporting CP,2,1
551955,2025-10-21,FINISHED,3.0,81,Barça,654,Olympiakos,6,1
552045,2025-10-21,FINISHED,3.0,10601,FK Kairat,11034,Paphos FC,0,0
551938,2025-10-21,FINISHED,3.0,3929,Union SG,108,Inter,0,4
551945,2025-10-21,FINISHED,3.0,1876,København,4,Dortmund,2,4
