team_id,name,short_name,tla,land,gegruendet,stadion
3,Bayer 04 Leverkusen,Leverkusen,B04,Germany,1904.0,BayArena
4,Borussia Dortmund,Dortmund,BVB,Germany,1909.0,Signal Iduna Park
5,FC Bayern München,Bayern,FCB,Germany,1900.0,Allianz Arena
19,Eintracht Frankfurt,Frankfurt,SGE,Germany,1899.0,Deutsche Bank Park
57,Arsenal FC,Arsenal,ARS,England,1886.0,Emirates Stadium
61,Chelsea FC,Chelsea,CHE,England,1905.0,Stamford Bridge
64,Liverpool FC,Liverpool,LIV,England,1892.0,Anfield
65,Manchester City FC,Man City,MCI,England,1880.0,Etihad Stadium
67,Newcastle United FC,Newcastle,NEW,England,1881.0,St. James' Park
73,Tottenham Hotspur FC,Tottenham,TOT,England,1882.0,Tottenham Hotspur Stadium
77,Athletic Club,Athletic,ATH,Spain,1898.0,San Mamés
78,Club Atlético de Madrid,Atleti,ATL,Spain,1903.0,Estadio Wanda Metropolitano
81,FC Barcelona,Barça,FCB,Spain,1899.0,Camp Nou
86,Real Madrid CF,Real Madrid,RMA,Spain,1902.0,Estadio Santiago Bernabéu
94,Villarreal CF,Villarreal,VIL,Spain,1923.0,Estadio de la Cerámica
102,Atalanta BC,Atalanta,ATA,Italy,1904.0,Stadio Atleti Azzurri d'Italia
108,FC Internazionale Milano,Inter,INT,Italy,1908.0,Stadio Giuseppe Meazza
109,Juventus FC,Juventus,JUV,Italy,1897.0,Allianz Stadium
113,SSC Napoli,Napoli,NAP,Italy,1904.0,Stadio San Paolo
498,Sporting Clube de Portugal,Sporting CP,SPO,Portugal,1906.0,Estádio José Alvalade
516,Olympique de Marseille,Marseille,MAR,France,1898.0,Orange Vélodrome
524,Paris Saint-Germain FC,PSG,PSG,France,1904.0,Parc des Princes
548,AS Monaco FC,Monaco,ASM,Monaco,1919.0,Stade Louis II.
610,Galatasaray SK,Galatasaray,GAL,Turkey,1905.0,Türk Telekom Arena
611,Qarabağ Ağdam FK,Qarabağ Ağdam,QAR,Azerbaijan,1951.0,Tofiq Bəhramov adına Respublika stadionu
654,PAE Olympiakos SFP,Olympiakos,OLY,Greece,1925.0,Stadio Georgios Karaiskáki
674,PSV,PSV,PSV,Netherlands,1913.0,Philips Stadion
678,AFC Ajax,Ajax,AJA,Netherlands,1900.0,Johan Cruyff ArenA
851,Club Brugge KV,Club Brugge,BRU,Belgium,1894.0,Jan Breydelstadion
930,SK Slavia Praha,Slavia Praha,SLP,Czech Republic,1892.0,Sinobo Stadium
1876,FC København,København,KOB,Denmark,1992.0,Telia Parken
1903,Sport Lisboa e Benfica,SL Benfica,BEN,Portugal,1904.0,Estádio do Sport Lisboa e Benfica
3929,Royale Union Saint-Gilloise,Union SG,USG,Belgium,1897.0,Stade Joseph Mariën
5721,FK Bodø/Glimt,Bodø/Glimt,FK,Norway,1916.0,Aspmyra Stadion
10601,FK Kairat,FK Kairat,KAI,Kazakhstan,,
11034,Paphos FC,Paphos FC,AEP,Cyprus,,Alphamega Stadium
